,zip,year,count,process_time
528,10281,2010,2,0.7000000000000001
529,10281,2011,23,2.8000000000000003
530,10281,2012,7,4.257142857142857
531,10281,2013,16,4.5562499999999995
532,10281,2014,20,7.615
533,10281,2015,38,6.173684210526316
534,10281,2016,40,4.4275
535,10281,2017,91,2.928571428571428
536,10281,2018,25,4.192
537,10282,2010,7,6.585714285714286
538,10282,2011,38,4.3921052631578945
539,10282,2012,29,4.7172413793103445
540,10282,2013,45,2.4933333333333336
541,10282,2014,35,4.8828571428571435
542,10282,2015,68,5.582352941176473
543,10282,2016,64,7.039062499999997
544,10282,2017,74,6.052702702702701
545,10282,2018,592,5.030236486486486
546,10301,2010,296,4.882770270270271
547,10301,2011,1212,6.751155115511543
548,10301,2012,1500,6.106266666666669
549,10301,2013,1391,5.349604601006476
550,10301,2014,1932,5.915269151138713
551,10301,2015,2460,7.771869918699194
552,10301,2016,2788,8.701614060258265
553,10301,2017,3047,6.51683623235972
554,10301,2018,3288,7.23175182481752
555,10302,2010,103,5.333980582524272
556,10302,2011,553,6.798010849909578
557,10302,2012,649,6.125731895223428
558,10302,2013,687,5.469432314410484
559,10302,2014,976,7.630020491803271
560,10302,2015,1120,7.700535714285713
561,10302,2016,1308,8.017889908256876
562,10302,2017,1552,8.178737113402075
563,10302,2018,1537,9.654716981132072
564,10303,2010,172,5.591279069767441
565,10303,2011,683,6.982723279648617
566,10303,2012,732,6.3232240437158485
567,10303,2013,781,5.288988476312419
568,10303,2014,1293,7.477803557617944
569,10303,2015,1292,7.919040247678017
570,10303,2016,1574,8.083418043202037
571,10303,2017,1789,8.870262716601458
572,10303,2018,2085,10.413381294964028
573,10304,2010,298,4.519463087248327
574,10304,2011,1134,6.519400352733688
575,10304,2012,1264,6.466693037974681
576,10304,2013,1644,5.441849148418494
577,10304,2014,2456,5.8281758957654874
578,10304,2015,2425,7.255175257731959
579,10304,2016,2734,8.754535479151434
580,10304,2017,2921,6.65491270112974
581,10304,2018,3576,7.119071588366874
582,10305,2010,290,6.394482758620693
583,10305,2011,1033,7.829912875120998
584,10305,2012,843,7.397390272835108
585,10305,2013,1119,7.189276139410176
586,10305,2014,1458,7.09396433470508
587,10305,2015,1951,7.843106099436206
588,10305,2016,2460,7.414390243902426
589,10305,2017,2401,7.113660974593923
590,10305,2018,2067,8.270972423802604
591,10306,2010,295,6.066101694915256
592,10306,2011,1071,7.8534080298786115
593,10306,2012,1118,8.218694096601054
594,10306,2013,1290,7.833565891472874
595,10306,2014,1782,6.421941638608312
596,10306,2015,2127,7.048801128349783
597,10306,2016,2440,5.835819672131149
