zip,year,value
10455,2017,7.807435055
10455,2018,8.321641571
10456,2010,6.497774687
10456,2011,6.581808435
10456,2012,7.352263374
10456,2013,6.362536274
10456,2014,7.684177611
10456,2015,9.501196285
10456,2016,10.31678648
10456,2017,9.894522019
10456,2018,9.99185853
10457,2010,5.693259972
10457,2011,6.342499021
10457,2012,7.059494149
10457,2013,6.738470486
10457,2014,8.26984835
10457,2015,9.742259564
10457,2016,9.88833309
10457,2017,9.311181293
10457,2018,9.561021542
10458,2010,5.731531532
10458,2011,6.31946417
10458,2012,6.812695078
10458,2013,7.279664269
10458,2014,7.963820523
10458,2015,8.716586151
10458,2016,7.978147413
10458,2017,7.708738653
10458,2018,7.189713788
10459,2010,6.306845966
10459,2011,6.105647208
10459,2012,6.619459791
10459,2013,7.136595523
10459,2014,7.665529842
10459,2015,8.717367853
10459,2016,9.862626263
10459,2017,8.951460106
10459,2018,8.763957426
10460,2010,6.609822647
10460,2011,6.274278328
10460,2012,6.517641278
10460,2013,6.814739517
10460,2014,8.229403606
10460,2015,9.150394218
10460,2016,9.866976744
10460,2017,8.70705365
10460,2018,8.643618052
10461,2010,5.280569948
10461,2011,5.504773414
10461,2012,5.429268293
10461,2013,5.691717361
10461,2014,7.855076311
10461,2015,9.399814901
10461,2016,10.44797676
10461,2017,9.091762376
10461,2018,9.491424736
10462,2010,5.230039526
10462,2011,5.626992632
10462,2012,5.52327383
10462,2013,6.23380486
10462,2014,7.915340127
10462,2015,8.960211864
10462,2016,10.00096947
10462,2017,9.514257708
10462,2018,9.694132159
10463,2010,4.566292135
10463,2011,5.027809524
10463,2012,5.451070979
10463,2013,5.703464948
10463,2014,6.036861314
10463,2015,6.774525453
10463,2016,6.52260074
10463,2017,5.915295226
10463,2018,5.963063063
10464,2010,5.574193548
10464,2011,5.396531792
10464,2012,6.108379888
10464,2013,5.256213018
10464,2014,7.553780069
10464,2015,10.88230519
10464,2016,10.56334661
10464,2017,7.958584071
10464,2018,8.62778626
10465,2010,6.228343949
10465,2011,5.85186846
10465,2012,6.185962264
10465,2013,5.988998156
10465,2014,8.217612524
10465,2015,10.1384426
10465,2016,10.8627076
10465,2017,8.142614893
10465,2018,8.82424608
10466,2010,4.536036036
10466,2011,5.177599687
10466,2012,6.825265018
10466,2013,6.517407707
10466,2014,8.403097056
10466,2015,10.14808671
10466,2016,10.94157339
10466,2017,10.33066064
10466,2018,10.52751072
10467,2010,4.594820384
10467,2011,5.590390956
10467,2012,6.417044128
10467,2013,6.625746772
10467,2014,7.823877235
10467,2015,8.890941567
10467,2016,9.103841821
10467,2017,8.914920241
10467,2018,8.727977784
10468,2010,4.907692308
10468,2011,5.667994688
10468,2012,6.281769856
10468,2013,6.635308001
10468,2014,7.36902869
10468,2015,7.82351908
10468,2016,7.21945939
10468,2017,6.756978119
10468,2018,6.475646624
10469,2010,4.491754386
10469,2011,5.425222093
10469,2012,5.840820238
10469,2013,5.976651652
10469,2014,8.203064921
10469,2015,9.800936207
10469,2016,11.29024694
10469,2017,10.53673287
10469,2018,10.68791082
10470,2010,3.932044199
10470,2011,5.419694656
10470,2012,7.128449744
10470,2013,6.10250298
10470,2014,8.801682243
10470,2015,10.5934573
10470,2016,11.92119419
10470,2017,11.56496752
10470,2018,11.21392092
10471,2010,4.682634731
10471,2011,5.637475345
10471,2012,5.311825726
10471,2013,5.311367673
10471,2014,6.101624815
10471,2015,7.410645161
10471,2016,6.688
10471,2017,5.693875076
10471,2018,6.302019069
10472,2010,6.663511188
10472,2011,7.608827524
10472,2012,7.162852538
10472,2013,6.264257426
10472,2014,8.594185754
10472,2015,7.523154424
10472,2016,6.89041569
10472,2017,6.66462059
10472,2018,6.782998146
10473,2010,6.790909091
10473,2011,7.684968243
10473,2012,6.704304304
10473,2013,6.710629515
10473,2014,8.363546256
10473,2015,8.385314208
10473,2016,8.410046189
10473,2017,7.909661724
10473,2018,8.300137112
10474,2010,8.3
10474,2011,6.953131749
10474,2012,7.445754717
10474,2013,7.415868263
10474,2014,6.847653806
10474,2015,8.390139752
10474,2016,9.52
10474,2017,9.181267218
10474,2018,8.815656009
10475,2010,4.852054795
10475,2011,6.343223443
10475,2012,6.198924731
10475,2013,6.596853147
10475,2014,8.276829268
10475,2015,9.623211447
10475,2016,10.62355769
10475,2017,9.335
10475,2018,9.761569149
10803,2013,11.1
10803,2014,9.55
10803,2015,6.525
10803,2016,18.9
11001,2010,8.695652174
11001,2011,7.368965517
11001,2012,7.702739726
11001,2013,7.263333333
11001,2014,7.297241379
11001,2015,9.785652174
11001,2016,10.27868339
11001,2017,11.32282282
11001,2018,7.843032787
11004,2010,6.994545455
11004,2011,6.919811321
11004,2012,8.287649402
11004,2013,5.883333333
11004,2014,8.469090909
11004,2015,10.1355814
11004,2016,10.72228464
11004,2017,9.121294363
11004,2018,7.257258065
11005,2012,2.25
11005,2013,2.8
11005,2014,12.6
11005,2015,2.2
11005,2017,4.5
11005,2018,7.75
11040,2010,9.044444444
11040,2011,8.131481481
11040,2012,9.239130435
11040,2013,5.607936508
11040,2014,10.23717949
11040,2015,9.211029412
11040,2016,8.733333333
11040,2017,11.21301775
11040,2018,9.080357143
11096,2017,0.1
11101,2010,6.296963947
11101,2011,6.271125144
11101,2012,7.102006018
11101,2013,6.822671889
11101,2014,7.043727794
11101,2015,9.059049228
11101,2016,9.839197956
11101,2017,8.258523108
11101,2018,9.558929692
11102,2010,5.564488636
11102,2011,5.947940075
11102,2012,6.058828006
11102,2013,6.620038168
11102,2014,6.103674437
11102,2015,8.401390302
11102,2016,8.852944694
11102,2017,7.044863732
11102,2018,8.534918478
11103,2010,4.405445545
11103,2011,5.748154982
11103,2012,6.163626493
11103,2013,6.764137264
11103,2014,6.51687188
11103,2015,8.560172318
11103,2016,9.449309551
11103,2017,7.239906565
11103,2018,8.439478785
11104,2010,4.862869198
11104,2011,5.457906459
11104,2012,7.450697674
11104,2013,6.919400187
11104,2014,8.984853052
11104,2015,10.14424032
11104,2016,11.12700535
11104,2017,10.11982676
11104,2018,11.01198813
11105,2010,5.452147239
11105,2011,5.78468824
11105,2012,5.606233766
11105,2013,6.350065359
11105,2014,6.274748544
11105,2015,8.326254826
11105,2016,9.308238173
11105,2017,6.920379589
11105,2018,8.438196663
11106,2010,5.479411765
11106,2011,5.699935897
11106,2012,6.147823691
11106,2013,6.152677405
11106,2014,6.264177564
11106,2015,8.291902468
11106,2016,9.295399579
11106,2017,7.149602697
11106,2018,7.981259151
11109,2010,1.7
11109,2011,5.225714286
11109,2012,5.996428571
11109,2013,5.791935484
11109,2014,8.225287356
11109,2015,8.149565217
11109,2016,9.585507246
11109,2017,9.269942197
11109,2018,9.902487562
11201,2010,5.288071571
11201,2011,6.025015366
11201,2012,5.814073634
11201,2013,5.55320486
11201,2014,5.49093207
11201,2015,6.861971452
11201,2016,6.585764131
11201,2017,6.079906937
11201,2018,6.05989819
11203,2010,5.649421965
11203,2011,6.420966152
11203,2012,7.171891573
11203,2013,6.84593343
11203,2014,7.34707301
11203,2015,6.710968518
11203,2016,7.114786509
11203,2017,6.744637429
11203,2018,8.683189798
11204,2010,5.511252269
11204,2011,6.063893967
11204,2012,6.216408222
11204,2013,5.39556289
11204,2014,6.125851763
11204,2015,6.427022375
11204,2016,6.601997717
11204,2017,5.981963661
11204,2018,4.785019827
11205,2010,5.76875
11205,2011,5.954646325
11205,2012,6.199059561
11205,2013,5.822050448
11205,2014,5.994950106
11205,2015,6.621432333
11205,2016,6.95868704
11205,2017,5.113785124
11205,2018,5.796783477
11206,2010,5.520719424
11206,2011,6.079822616
11206,2012,6.59315197
11206,2013,6.431307955
11206,2014,6.313585145
11206,2015,7.423524678
11206,2016,6.960823931
11206,2017,5.974415075
11206,2018,6.60446045
11207,2010,5.358816425
11207,2011,6.013393412
11207,2012,6.356831395
11207,2013,6.439261252
11207,2014,6.975775265
11207,2015,7.048461869
11207,2016,7.706851464
11207,2017,7.256
11207,2018,6.66640087
11208,2010,6.231077348
11208,2011,6.494222079
11208,2012,6.022490347
11208,2013,6.228174037
11208,2014,7.107192619
11208,2015,7.516476748
11208,2016,8.188152949
11208,2017,7.204709704
11208,2018,6.651754481
11209,2010,5.042320261
11209,2011,4.910471442
11209,2012,6.050860866
11209,2013,6.25645682
11209,2014,6.755172414
11209,2015,5.695494297
11209,2016,7.447334123
11209,2017,7.312220065
11209,2018,7.158439465
11210,2010,5.431934307
11210,2011,6.43635159
11210,2012,8.059683794
11210,2013,7.594539391
11210,2014,7.27990294
11210,2015,8.792371996
11210,2016,8.728179659
11210,2017,9.057939012
11210,2018,8.551175148
11211,2010,5.464729867
11211,2011,6.237190702
11211,2012,5.84516129
11211,2013,5.896071829
11211,2014,6.347405112
11211,2015,7.203013864
11211,2016,6.843752746
11211,2017,6.217678973
11211,2018,5.736471259
11212,2010,5.416783217
11212,2011,5.910907336
11212,2012,7.453725244
11212,2013,6.734989397
11212,2014,6.123756112
11212,2015,5.822146226
11212,2016,6.876769614
11212,2017,6.783498113
11212,2018,6.777777778
11213,2010,5.208856089
11213,2011,6.100953206
11213,2012,6.574165637
11213,2013,7.10822098
11213,2014,7.034435501
11213,2015,7.533215613
11213,2016,7.277587477
11213,2017,6.968049728
11213,2018,7.979357298
11214,2010,5.791971831
11214,2011,6.448450831
11214,2012,6.82023915
11214,2013,5.924234093
11214,2014,6.48746594
11214,2015,6.523165595
11214,2016,6.557796014
11214,2017,6.402099629
11214,2018,4.694356882
11215,2010,5.74171123
11215,2011,6.309627016
11215,2012,8.071531792
11215,2013,6.59756487
11215,2014,6.270385051
11215,2015,6.238061224
11215,2016,7.215776426
11215,2017,7.067167089
11215,2018,7.265268253
11216,2010,4.780903491
11216,2011,5.017496752
11216,2012,5.474605452
11216,2013,5.668036913
11216,2014,5.308838978
11216,2015,5.695171657
11216,2016,6.161842291
11216,2017,5.989749563
11216,2018,8.112005938
11217,2010,5.53891129
11217,2011,5.5510915
11217,2012,7.072120896
11217,2013,5.913069786
11217,2014,5.22554693
11217,2015,5.337479497
11217,2016,5.181877954
11217,2017,5.049032595
11217,2018,5.895263158
11218,2010,5.199671053
11218,2011,6.244880074
11218,2012,6.938915196
11218,2013,6.145705521
11218,2014,6.658729797
11218,2015,7.511100798
11218,2016,7.626683292
11218,2017,7.788125179
11218,2018,8.683566499
11219,2010,5.434334764
11219,2011,5.869554455
11219,2012,7.064316906
11219,2013,6.050782515
11219,2014,6.430289389
11219,2015,6.691365888
11219,2016,7.158139535
11219,2017,7.45436913
11219,2018,7.788320814
11220,2010,5.430461538
11220,2011,6.055164931
11220,2012,7.254484773
11220,2013,6.130167598
11220,2014,7.33650608
11220,2015,8.629457105
11220,2016,9.514257059
11220,2017,8.765489391
11220,2018,8.258845708
11221,2010,5.229222973
11221,2011,5.94483871
11221,2012,7.004012945
11221,2013,6.109837377
11221,2014,6.267357143
11221,2015,6.626162132
11221,2016,6.534701224
11221,2017,6.021310585
11221,2018,6.834223978
11222,2010,5.240782123
11222,2011,4.792132353
11222,2012,4.343955322
11222,2013,4.489148073
11222,2014,4.668567085
11222,2015,5.626717305
11222,2016,6.343414888
11222,2017,6.422038813
11222,2018,6.205315698
11223,2010,6.075938567
11223,2011,7.194462409
11223,2012,7.899238026
11223,2013,6.849742765
11223,2014,7.675953608
11223,2015,8.227027575
11223,2016,8.698616236
11223,2017,7.872584002
11223,2018,6.524443819
11224,2010,6.230136986
11224,2011,6.560264106
11224,2012,6.852957746
11224,2013,7.626470588
11224,2014,7.550820707
11224,2015,8.49498048
11224,2016,9.166329114
