zip,hour,value
10312,0,59
10312,1,49
10312,2,29
10312,3,6
10312,4,5
10312,5,13
10312,6,21
10312,7,29
10312,8,48
10312,9,48
10312,10,37
10312,11,38
10312,12,49
10312,13,55
10312,14,71
10312,15,72
10312,16,80
10312,17,61
10312,18,91
10312,19,56
10312,20,81
10312,21,167
10312,22,119
10312,23,107
10314,0,107
10314,1,71
10314,2,33
10314,3,20
10314,4,32
10314,5,43
10314,6,70
10314,7,130
10314,8,123
10314,9,159
10314,10,115
10314,11,125
10314,12,101
10314,13,95
10314,14,116
10314,15,105
10314,16,93
10314,17,115
10314,18,133
10314,19,117
10314,20,160
10314,21,193
10314,22,252
10314,23,207
10451,0,183
10451,1,128
10451,2,75
10451,3,36
10451,4,34
10451,5,30
10451,6,29
10451,7,61
10451,8,63
10451,9,77
10451,10,65
10451,11,64
10451,12,68
10451,13,68
10451,14,49
10451,15,79
10451,16,55
10451,17,70
10451,18,101
10451,19,123
10451,20,167
10451,21,225
10451,22,242
10451,23,277
10452,0,463
10452,1,332
10452,2,188
10452,3,108
10452,4,84
10452,5,58
10452,6,47
10452,7,65
10452,8,71
10452,9,96
10452,10,89
10452,11,98
10452,12,121
10452,13,113
10452,14,114
10452,15,144
10452,16,164
10452,17,196
10452,18,289
10452,19,377
10452,20,432
10452,21,550
10452,22,666
10452,23,674
10453,0,459
10453,1,319
10453,2,215
10453,3,118
10453,4,82
10453,5,79
10453,6,77
10453,7,90
10453,8,78
10453,9,82
10453,10,65
10453,11,74
10453,12,85
10453,13,74
10453,14,65
10453,15,80
10453,16,105
10453,17,110
10453,18,190
10453,19,228
10453,20,319
10453,21,433
10453,22,505
10453,23,540
10454,0,148
10454,1,108
10454,2,67
10454,3,32
10454,4,37
10454,5,20
10454,6,36
10454,7,45
10454,8,50
10454,9,52
10454,10,41
10454,11,69
10454,12,53
10454,13,52
10454,14,41
10454,15,62
10454,16,49
10454,17,42
10454,18,59
10454,19,66
10454,20,102
10454,21,176
10454,22,237
10454,23,217
10455,0,191
10455,1,105
10455,2,76
10455,3,56
10455,4,31
10455,5,24
10455,6,19
10455,7,56
10455,8,44
10455,9,53
10455,10,55
10455,11,80
10455,12,57
10455,13,58
10455,14,56
10455,15,54
10455,16,60
10455,17,74
10455,18,80
10455,19,95
10455,20,135
10455,21,193
10455,22,233
10455,23,228
10456,0,392
10456,1,293
10456,2,168
10456,3,104
10456,4,88
10456,5,49
10456,6,59
10456,7,111
10456,8,107
10456,9,101
10456,10,94
10456,11,94
10456,12,86
10456,13,92
10456,14,96
10456,15,113
10456,16,131
