zip,year,count,process_time
10308,2013,577,8.668457539
10308,2014,879,6.892491468
10308,2015,1361,7.576561352
10308,2016,1348,5.58264095
10308,2017,1397,6.627129563
10308,2018,1170,6.965897436
10309,2010,133,6.165413534
10309,2011,551,6.735753176
10309,2012,541,6.711090573
10309,2013,808,5.201608911
10309,2014,967,5.636608066
10309,2015,1066,6.928330206
10309,2016,1034,6.678723404
10309,2017,1376,6.1625
10309,2018,1259,5.474503574
10310,2010,286,5.234615385
10310,2011,922,6.341214751
10310,2012,755,6.738278146
10310,2013,940,5.354893617
10310,2014,1413,5.818895966
10310,2015,1833,6.81898527
10310,2016,1792,9.115011161
10310,2017,2164,6.771534196
10310,2018,1892,7.562737844
10312,2010,317,5.809148265
10312,2011,1075,6.613860465
10312,2012,1065,6.639061033
10312,2013,1394,5.976040172
10312,2014,1824,5.947752193
10312,2015,2611,5.904978935
10312,2016,2947,4.944180523
10312,2017,2620,6.135725191
10312,2018,2373,5.587568479
10314,2010,438,7.199315068
10314,2011,1811,6.857537272
10314,2012,1642,6.795249695
10314,2013,2327,6.739922647
10314,2014,2698,7.398480356
10314,2015,3231,7.686350975
10314,2016,3776,7.963612288
10314,2017,4427,8.548768918
10314,2018,4640,9.244418103
10400,2011,1,0.3
10451,2010,414,6.19178744
10451,2011,1394,6.496269727
10451,2012,1446,7.313070539
10451,2013,1905,6.369396325
10451,2014,2496,7.540625
10451,2015,3019,9.108512753
10451,2016,3220,10.56838509
10451,2017,4124,10.06362755
10451,2018,4021,10.15262373
10452,2010,879,6.9629124
10452,2011,2652,6.840422323
10452,2012,3364,7.92440547
10452,2013,4103,6.505264441
10452,2014,4890,7.860511247
10452,2015,5925,10.23210127
10452,2016,6940,11.04518732
10452,2017,8182,11.09725006
10452,2018,8476,10.91234073
10453,2010,839,4.997854589
10453,2011,3122,6.204228059
10453,2012,3256,6.4620086
10453,2013,3418,7.16732007
10453,2014,4712,8.30606961
10453,2015,6259,9.347084199
10453,2016,7066,8.992824795
10453,2017,7732,9.05685463
10453,2018,7586,9.536422357
10454,2010,276,5.059782609
10454,2011,840,5.986071429
10454,2012,1126,6.98321492
10454,2013,1626,5.850922509
10454,2014,1769,7.004126625
10454,2015,2142,8.46101774
10454,2016,2560,8.864179687
10454,2017,2694,8.393912398
10454,2018,3002,8.298101266
10455,2010,332,5.853614458
10455,2011,1110,6.367027027
10455,2012,1672,5.999043062
10455,2013,2346,5.201449275
10455,2014,2308,7.004116118
10455,2015,2653,8.704372409
10455,2016,3185,9.195729984
10455,2017,3349,7.807435055
10455,2018,3387,8.321641571
10456,2010,719,6.497774687
10456,2011,2798,6.581808435
10456,2012,2916,7.352263374
10456,2013,3446,6.362536274
10456,2014,4797,7.684177611
10456,2015,6353,9.501196285
10456,2016,8346,10.31678648
10456,2017,7448,9.894522019
10456,2018,7210,9.99185853
10457,2010,727,5.693259972
10457,2011,2553,6.342499021
10457,2012,2649,7.059494149
10457,2013,3439,6.738470486
10457,2014,4484,8.26984835
10457,2015,5594,9.742259564
10457,2016,6857,9.88833309
10457,2017,7441,9.311181293
10457,2018,7381,9.561021542
10458,2010,888,5.731531532
10458,2011,3098,6.31946417
10458,2012,3332,6.812695078
10458,2013,4170,7.279664269
10458,2014,5282,7.963820523
10458,2015,5589,8.716586151
10458,2016,6553,7.978147413
10458,2017,7381,7.708738653
10458,2018,6883,7.189713788
10459,2010,409,6.306845966
10459,2011,1576,6.105647208
10459,2012,1629,6.619459791
10459,2013,1921,7.136595523
10459,2014,2463,7.665529842
10459,2015,2781,8.717367853
10459,2016,3762,9.862626263
10459,2017,4349,8.951460106
10459,2018,4134,8.763957426
10460,2010,733,6.609822647
10460,2011,2321,6.274278328
10460,2012,2035,6.517641278
